# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\ECE385\Lab5\documents\lab5.csv
# Generated on: Sat Feb 18 12:40:43 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Clk,Unknown,PIN_P11,3,B3_N0,2.5 V,,,,,
HEX0[6],Unknown,PIN_C17,7,B7_N0,2.5 V,,,,,
HEX0[5],Unknown,PIN_D17,7,B7_N0,2.5 V,,,,,
HEX0[4],Unknown,PIN_E16,7,B7_N0,2.5 V,,,,,
HEX0[3],Unknown,PIN_C16,7,B7_N0,2.5 V,,,,,
HEX0[2],Unknown,PIN_C15,7,B7_N0,2.5 V,,,,,
HEX0[1],Unknown,PIN_E15,7,B7_N0,2.5 V,,,,,
HEX0[0],Unknown,PIN_C14,7,B7_N0,2.5 V,,,,,
HEX1[6],Unknown,PIN_B17,7,B7_N0,2.5 V,,,,,
HEX1[5],Unknown,PIN_A18,7,B7_N0,2.5 V,,,,,
HEX1[4],Unknown,PIN_A17,7,B7_N0,2.5 V,,,,,
HEX1[3],Unknown,PIN_B16,7,B7_N0,2.5 V,,,,,
HEX1[2],Unknown,PIN_E18,6,B6_N0,2.5 V,,,,,
HEX1[1],Unknown,PIN_D18,6,B6_N0,2.5 V,,,,,
HEX1[0],Unknown,PIN_C18,7,B7_N0,2.5 V,,,,,
HEX2[6],Unknown,PIN_B22,6,B6_N0,2.5 V,,,,,
HEX2[5],Unknown,PIN_C22,6,B6_N0,2.5 V,,,,,
HEX2[4],Unknown,PIN_B21,6,B6_N0,2.5 V,,,,,
HEX2[3],Unknown,PIN_A21,6,B6_N0,2.5 V,,,,,
HEX2[2],Unknown,PIN_B19,7,B7_N0,2.5 V,,,,,
HEX2[1],Unknown,PIN_A20,7,B7_N0,2.5 V,,,,,
HEX2[0],Unknown,PIN_B20,6,B6_N0,2.5 V,,,,,
HEX3[6],Unknown,PIN_E17,6,B6_N0,2.5 V,,,,,
HEX3[5],Unknown,PIN_D19,6,B6_N0,2.5 V,,,,,
HEX3[4],Unknown,PIN_C20,6,B6_N0,2.5 V,,,,,
HEX3[3],Unknown,PIN_C19,7,B7_N0,2.5 V,,,,,
HEX3[2],Unknown,PIN_E21,6,B6_N0,2.5 V,,,,,
HEX3[1],Unknown,PIN_E22,6,B6_N0,2.5 V,,,,,
HEX3[0],Unknown,PIN_F21,6,B6_N0,2.5 V,,,,,
HEX4[6],Unknown,PIN_F20,6,B6_N0,2.5 V,,,,,
HEX4[5],Unknown,PIN_F19,6,B6_N0,2.5 V,,,,,
HEX4[4],Unknown,PIN_H19,6,B6_N0,2.5 V,,,,,
HEX4[3],Unknown,PIN_J18,6,B6_N0,2.5 V,,,,,
HEX4[2],Unknown,PIN_E19,6,B6_N0,2.5 V,,,,,
HEX4[1],Unknown,PIN_E20,6,B6_N0,2.5 V,,,,,
HEX4[0],Unknown,PIN_F18,6,B6_N0,2.5 V,,,,,
HEX5[6],Unknown,PIN_N20,6,B6_N0,2.5 V,,,,,
HEX5[5],Unknown,PIN_N19,6,B6_N0,2.5 V,,,,,
HEX5[4],Unknown,PIN_M20,6,B6_N0,2.5 V,,,,,
HEX5[3],Unknown,PIN_N18,6,B6_N0,2.5 V,,,,,
HEX5[2],Unknown,PIN_L18,6,B6_N0,2.5 V,,,,,
HEX5[1],Unknown,PIN_K20,6,B6_N0,2.5 V,,,,,
HEX5[0],Unknown,PIN_J20,6,B6_N0,2.5 V,,,,,
LED[9],Unknown,PIN_B11,7,B7_N0,2.5 V,,,,,
LED[8],Unknown,PIN_A11,7,B7_N0,2.5 V,,,,,
LED[7],Unknown,PIN_D14,7,B7_N0,2.5 V,,,,,
LED[6],Unknown,PIN_E14,7,B7_N0,2.5 V,,,,,
LED[5],Unknown,PIN_C13,7,B7_N0,2.5 V,,,,,
LED[4],Unknown,PIN_D13,7,B7_N0,2.5 V,,,,,
LED[3],Unknown,PIN_B10,7,B7_N0,2.5 V,,,,,
LED[2],Unknown,PIN_A10,7,B7_N0,2.5 V,,,,,
LED[1],Unknown,PIN_A9,7,B7_N0,2.5 V,,,,,
LED[0],Unknown,PIN_A8,7,B7_N0,2.5 V,,,,,
SW[9],Unknown,PIN_F15,7,B7_N0,2.5 V,,,,,
SW[8],Unknown,PIN_B14,7,B7_N0,2.5 V,,,,,
SW[7],Unknown,PIN_A14,7,B7_N0,2.5 V,,,,,
SW[6],Unknown,PIN_A13,7,B7_N0,2.5 V,,,,,
